did,rkey,time_us,time_iso,langs,text
did:plc:r6a6oou4rc56atrqwhiqyaot,3lsbuvlrswk2j,1750691873277266,2025-06-23T15:17:53.277266+00:00,en,Breads #PowerPlant #Vegan yourcareplan.org/breads/ #DavidMillettPublications #YourCarePlan #WordPress #Recipe
did:plc:js6yfyuoohoenjpkvqgdjjng,3lsbv3c5nys25,1750692065764844,2025-06-23T15:21:05.764844+00:00,en,Argues w vegans that taking a B12 supplement is unnatural   Takes antacids just to get through the night on a regular basis
did:plc:js6yfyuoohoenjpkvqgdjjng,3lsbv6o5b4225,1750692176479733,2025-06-23T15:22:56.479733+00:00,en,Argues w vegans that taking a B12 supplement is unnatural   Takes an antacid just to get through the night on a regular basis
did:plc:fzrbbhfjtw3n4smiwsukrj4m,3lsbvpf4mgs2u,1750692737251581,2025-06-23T15:32:17.251581+00:00,en,“Dems want to make you vegan and drive electric cars.”
did:plc:yevrjc67e4vfvyp6bbzvlebr,3lsbvqe3kfk2d,1750692770028035,2025-06-23T15:32:50.028035+00:00,en,"@vegan-revolution.bsky.social My children are asking if we'll eat today, and I have no answer; we have no food, no shelter, no medicine, and with no money, we are living in real misery. Please, any help would be a glimmer of hope for us in these difficult circumstances. bsky.app/profile/help..."
did:plc:7a4dbiurb44vggsynafivdpd,3lsbw3eegt22y,1750693143563532,2025-06-23T15:39:03.563532+00:00,en,"A tip for anyone who is into protein: you can buy vegan protein isolate at Bulk Barn (in 🇨🇦) for ~$42/kg (5¢/protein-gram).  For comparison, Costco sells dairy-based protein powder at 4¢/protein-gram and plant-based at 6¢/protein-gram."
did:plc:gnvt5o5mnnuiub3qgtulb6qd,3lsbwadgats2u,1750693307981363,2025-06-23T15:41:47.981363+00:00,en,"Tired of mystery meat at 35,000 feet?   From vegan to gluten-free, halal to low-cal (no judgment), we’ve got the full lowdown on how to actually lock in the meal you want - not the one you’re randomly handed.  Link down below 👇  www.pointswellmade.co.uk/post/how-do-..."
did:plc:zyl46z3m34ocr573yylztfcz,3lsbwaloivk22,1750693314667395,2025-06-23T15:41:54.667395+00:00,en,Some disabled or chronically ill people are forced to hide they're vegan or society would falsely blame illness on that
did:plc:dgs3lm4a244exynku6o5fxhi,3lsbwccp3rc2v,1750693375453196,2025-06-23T15:42:55.453196+00:00,en,"Did make some new soap this weekend. Tried to get a fancy pattern but no real luck. I gotta figure out the technique, I think. Sure smells great though.   Been trying out a new recipe that's just coconut oil and lard. I like it a lot.  Used to focus on vegan only, but customers don't care, it seems."
did:plc:ziijuxljnv3r4akgyvxmj7es,3lsbwgqlzdk22,1750693524665887,2025-06-23T15:45:24.665887+00:00,en,Question: What would be your dinner place recommendation in Bristol City Centre for 2 people that isn't too expensive 👉👈  Owee Vegan is definitely on the list. Gonna let @z0eff.nl try it the first time
did:plc:ziijuxljnv3r4akgyvxmj7es,3lsbwidewfs22,1750693578694092,2025-06-23T15:46:18.694092+00:00,en,Question: What would be your dinner place recommendation in Bristol City Centre for 2 people that isn't too expensive?  Owee Vegan is definitely on the list. Gonna let @z0eff.nl try it the first time
did:plc:gyneuy4m6vt2tkifzn75fwqu,3lsbwkplcq226,1750693656288324,2025-06-23T15:47:36.288324+00:00,en,Did you know ?  #nutrition #wellness #wellnessblog #plantbased #plantbasednutrition #healthyself #foodismedicine #healthylifestyle #eatyourveggies  #wellnesswarrior #healthylivingtips #livingfoods #healingwithfood #letfoodbethymedicine
did:plc:wafo7llioc7h2cfqd7zzdpz6,3lsbwmc2zu22j,1750693713677605,2025-06-23T15:48:33.677605+00:00,en,"Happy to have met our members online at SAFE's 2025 General Assembly, the last one from our old office. It was great to speak to and hear from our members from across Europe, sharing updates on:  📈Inflation in food. 👪 Social inclusion through food. 🌾Plant-based diets.  👩‍👧Consumer protection.  Thanks!"
did:plc:gon3yxwmr63pu5psiearsitj,3lsbwnfy4ec2k,1750693746041564,2025-06-23T15:49:06.041564+00:00,en,Just as scientists are telling us how crucial it is to shift to more plant-based diets (see for instance www.youtube.com/watch?v=MjnO...)
did:plc:7vs7fbkam6azcbffwietmmgx,3lsbx35s7hc2c,1750694208558437,2025-06-23T15:56:48.558437+00:00,en,"The Lemonheads detail new album, announce fall tour: hear ""In the Margin"" www.brooklynvegan.com/the-lemonhea..."
did:plc:dazpm5logm7yn35vrvz6fflx,3lsbxb6gz6c2z,1750694407777887,2025-06-23T16:00:07.777887+00:00,en,"Ever heard of speciesism?   It's the reason hurting a pig is dinner, but hurting a dog is a crime.   #veganthreads 🌱"
